,title,date,country,genre,rate
1142,Darling 2,1 April 2016 (India),India,['Comedy'],4.0
1143,"Saudó, laberinto de almas",August 2016 (Colombia),Colombia,"['Horror', 'Mystery']",4.0
1144,Nozokime,2 April 2016 (Japan),Japan,[],4.0
1145,Killer Waves,16 July 2016 (USA),USA,[],4.0
1146,Scarecrows,2018 (Canada),Canada,[],4.0
1147,Ballad in Blood,25 September 2016 (Austria),Italy,[],4.0
1148,Catacomba,15 September 2016 (Italy),Italy,[],4.0
1149,Marshrut postroen,31 March 2016 (Russia),Russia,['Horror'],4.0
1150,3 Flies in a Widow's Web,15 March 2016 (USA),USA,[],4.0
1151,Sickhouse,1 June 2016 (USA),USA,['Horror'],4.0
1152,Hallucination,20 June 2016 (UK),UK,['Crime'],4.0
1153,Holy Terror,1 April 2017 (USA),USA,[],4.0
1154,Zero City,25 May 2017 (USA),USA,"['Horror', 'Sci-Fi']",4.0
1155,Azem 4: Alacakaranlik,9 September 2016 (Turkey),Turkey,[],4.0
1156,Blood Prism,12 December 2017 (USA),USA,"['Drama', 'Horror']",4.0
1157,Sleep Eaters,April 2017 (USA),USA,[],4.0
1158,The Undone,2017 (USA),USA,[],4.0
1159,Sheitaan,13 October 2017 (India),India,[],4.0
1160,Alpha Delta Zatan,24 October 2017 (USA),USA,"['Horror', 'Mystery']",4.0
1161,Playing with Dolls: Havoc,18 July 2017 (USA),USA,['Horror'],4.0
1162,Deccal 2,16 June 2017 (Turkey),Turkey,[],4.0
1163,Amityville: Evil Never Dies,2017 (USA),USA,[],4.0
1164,The Midnight Matinee,19 May 2017 (USA),USA,"['Horror', 'Mystery']",4.0
1165,Badder Ben: The Final Chapter,1 October 2017 (USA),USA,[],4.0
1166,1993,16 October 2017 (USA),USA,[],4.0
1167,Dance! Dance! Dance!,22 October 2014 (Belgium),Belgium,[],1.2
1168,2045 Carnival Folklore,July 2015 (Japan),Japan,"['Drama', 'Music']",2.1
1169,59,3 November 2015 (UK),UK,"['Drama', 'Music']",2.2
1170,Paul Simon the Concert in Hyde Park,9 June 2017 (USA),USA,[],2.3
1171,Aaliyah,26 December 2015 (USA),USA,['Biography'],2.4
1172,Cantantes en Guerra,13 July 2017 (Argentina),Argentina,['Comedy'],2.4
1173,Gerardo Ortiz: Como Un Sueno,11 December 2015 (Mexico),USA,[],2.8
1174,Yamato (Kariforunia),8 October 2016 (Canada),Japan,"['Drama', 'Family']",3.2
1175,Shrimp Crawl,2013 (USA),USA,"['Action', 'Drama']",3.3
1176,H.I.T. - De Romeo's,15 March 2017 (Belgium),Belgium,"['Action', 'Comedy']",3.3
1177,Munna Michael,21 July 2017 (India),India,"['Action', 'Drama']",3.4
1178,Swing State,3 February 2017 (USA),USA,"['Comedy', 'Music']",3.6
1179,The Cockups,2015 (USA),USA,"['Comedy', 'Drama']",3.8
1180,Unter deutschen Betten,5 October 2017 (Germany),Germany,"['Comedy', 'Drama']",3.8
1181,We Will Riot,25 September 2013 (Lithuania),Lithuania,['Drama'],4.0
1182,ETXR,31 March 2014 (USA),USA,"['Adventure', 'Music']",4.0
1183,Risto Räppääjä ja yöhaukka,19 February 2016 (Finland),Finland,"['Comedy', 'Family']",4.0
1184,Pappa pia,15 August 2017 (Hungary),Hungary,"['Comedy', 'Music']",4.0
1185,Kimaat Mefursemet,22 June 2017 (Israel),Israel,"['Comedy', 'Drama']",4.0
1186,Eyal Hirrifah,29 October 2015 (Kuwait),Egypt,"['Comedy', 'Musical']",1.4
1187,My Fair Zombie,14 September 2013 (Canada),Canada,['Horror'],1.5
1188,To the Top,2016 (USA),USA,"['Adventure', 'Drama']",1.5
1189,Decibely lásky,11 February 2016 (Czech Republic),Czech Republic,"['Comedy', 'Musical']",1.8
1190,Khaltoor,1 November 2017 (Iran),Iran,"['Action', 'Comedy']",2.1
1191,Dancin': It's On!,30 October 2015 (USA),USA,"['Family', 'Musical']",2.8
1192,The Pink Marble Egg,15 May 2013 (France),UK,[],3.0
1193,As o pas,19 October 2016 (Iran),Iran,"['Comedy', 'Family']",3.1
1194,Halloween Pussy Trap Kill Kill,27 October 2017 (USA),USA,"['Crime', 'Horror']",3.1
1195,Verdi's La Traviata - English National Opera,11 March 2015 (UK),UK,[],3.2
1196,Yamato (Kariforunia),8 October 2016 (Canada),Japan,"['Drama', 'Family']",3.2
1197,Bir Baba Hindu,29 September 2016 (Germany),Turkey,"['Action', 'Adventure']",3.3
1198,Moshi Monsters: The Movie,18 February 2018 (Hong Kong),UK,"['Animation', 'Adventure']",3.4
1199,Gong zhu de you huo,25 October 2013 (China),China,"['Comedy', 'Drama']",3.4
1200,Tie the Knot,21 February 2017 (USA),USA,"['Comedy', 'Drama']",3.5
1201,Meinu Ek Ladki Chaahiye,26 September 2014 (India),India,"['Comedy', 'Crime']",3.5
1202,Waxie Moon in Fallen Jewel,31 March 2015 (USA),USA,"['Comedy', 'Drama']",3.6
1203,The Harry Hill Movie,20 December 2013 (UK),UK,"['Adventure', 'Comedy']",3.7
1204,CarGo,6 June 2017 (USA),USA,"['Animation', 'Adventure']",3.7
1205,Basmati Blues,9 February 2018 (USA),USA,"['Comedy', 'Musical']",3.8
1206,Qué le dijiste a Dios?,17 January 2014 (Mexico),Mexico,['Comedy'],3.8
1207,Caught on Tape,5 February 2013 (USA),USA,['Crime'],4.0
1208,A Christmas Carol,20 November 2015 (USA),Canada,"['Drama', 'Family']",4.0
1209,Dance Camp,10 February 2016 (USA),USA,"['Comedy', 'Drama']",4.0
1210,Saigal Padukayanu,2 October 2015 (India),India,['Drama'],4.0
1211,Rhythm,19 February 2016 (India),India,['Musical'],4.0
1212,Ushikoku ni mairu,14 November 2015 (Japan),Japan,"['Action', 'Drama']",1.0
1213,Yurameku,Romance,Japan,['Fantasy'],1.1
1214,Devil's Drain,Mystery,Italy,['Fantasy'],1.4
1215,Shark Exorcist,14 August 2015 (USA),USA,"['Action', 'Comedy']",1.5
1216,Rise of the Dark,31 July 2015 (Russia),Russia,"['Horror', 'Mystery']",1.5
1217,Kod Adi K.O.Z.,13 February 2015 (Turkey),Turkey,['Crime'],1.6
1218,Angela Markado,2 December 2015 (Philippines),Philippines,"['Action', 'Crime']",1.9
1219,Super Model,27 September 2013 (India),India,"['Drama', 'Mystery']",2.1
1220,The Omnipotence of Dreams,Horror,USA,['Comedy'],2.1
1221,Subconscious,10 March 2015 (USA),USA,"['Action', 'Mystery']",2.2
1222,Terror House,19 September 2016 (USA),USA,"['Fantasy', 'Horror']",2.3
1223,Gas Light,15 September 2018 (USA),USA,"['Horror', 'Mystery']",2.4
1224,Jango,Mystery,India,[],2.4
1225,The Secret Village,16 October 2013 (Sweden),USA,"['Horror', 'Mystery']",2.5
1226,Razors: The Return of Jack the Ripper,8 May 2017 (UK),UK,"['Fantasy', 'Horror']",2.5
1227,You Will Love Me,31 August 2013 (USA),USA,"['Horror', 'Mystery']",2.5
1228,Scream at the Devil,2 March 2016 (USA),USA,['Mystery'],2.5
1229,Voodoo Possession,14 January 2014 (USA),USA,"['Drama', 'Horror']",2.5
1230,Silverhide,6 April 2015 (UK),UK,"['Horror', 'Mystery']",2.6
1231,Gu dao jing hun 2,26 January 2013 (China),China,"['Drama', 'Fantasy']",2.6
1232,Kiss and Kill,8 August 2017 (USA),USA,"['Drama', 'Mystery']",2.6
1233,Siren Song,15 January 2016 (USA),UK,['Horror'],2.7
1234,Full English Breakfast,7 April 2014 (UK),UK,"['Action', 'Crime']",2.7
1235,Aliens,Sci-Fi,South Korea,['Comedy'],2.7
1236,Love U Crazy Girl,9 May 2014 (India),India,[],2.7
1237,La Secta,30 October 2014 (Argentina),Argentina,['Mystery'],2.7
1238,Machine,17 March 2017 (India),India,"['Action', 'Mystery']",2.7
1239,Onus,26 December 2016 (UK),UK,"['Drama', 'Mystery']",2.8
1240,Mumbai 125 KM 3D,17 October 2014 (India),India,"['Drama', 'Horror']",2.8
1241,After Midnight,28 October 2014 (USA),USA,['Mystery'],2.8
1242,House of VHS,23 January 2016 (UK),France,"['Fantasy', 'Horror']",2.8
1243,The Monster,2015 (Iran),Iran,['Drama'],2.8
1244,Cupid's Guillotine,14 February 2017 (USA),USA,"['Drama', 'Mystery']",2.8
1245,"White Lies, Black Lies",15 April 2016 (Taiwan),Taiwan,"['Crime', 'Mystery']",2.8
1246,Das Werwolfspiel,7 May 2013 (Austria),Austria,"['Horror', 'Mystery']",2.9
1247,Psychos,17 March 2017 (USA),USA,"['Crime', 'Drama']",2.9
1248,The Unbidden,22 April 2016 (USA),USA,"['Horror', 'Mystery']",2.9
1249,Banglo Berkunci,26 November 2015 (Malaysia),Malaysia,['Horror'],2.9
1250,Anomaly,Sci-Fi,USA,['Horror'],2.9
