,title,date,country,genre,rate
69,A Twisted Tale,6 April 2017 (USA),,"['Comedy', 'Horror']",2.3
70,Martian Land,6 October 2015 (USA),USA,"['Action', 'Adventure']",2.3
71,Complitation of Horror,13 May 2017 (Russia),Russia,"['Action', 'Adventure']",2.3
72,American Weapon,16 January 2014 (Germany),USA,['Horror'],2.4
73,Jurassic Attack,10 March 2016 (South Korea),USA,"['Action', 'Adventure']",2.4
74,Gas Light,15 September 2018 (USA),USA,"['Horror', 'Mystery']",2.4
75,100 Degrees Below Zero,13 April 2013 (USA),USA,"['Action', 'Adventure']",2.4
76,Haunting of the Innocent,1 February 2014 (USA),USA,['Horror'],2.4
77,Territory 8,1 May 2013 (USA),USA,"['Drama', 'Sci-Fi']",2.4
78,Assignment,21 October 2013 (UK),UK,['Thriller'],2.4
79,Apocalypse Pompeii,8 January 2016 (India),USA,"['Action', 'Adventure']",2.4
80,5 Seasons,2 May 2015 (Germany),Germany,[],2.4
81,The Broken Key,16 November 2017 (Italy),Italy,"['History', 'Sci-Fi']",2.4
82,Man zhou li lai de ren,25 March 2015 (Hong Kong),China,"['Crime', 'Drama']",2.4
83,Hajwala,29 September 2016 (United Arab Emirates),United Arab Emirates,"['Action', 'Adventure']",2.4
84,The Crossbreed,6 March 2018 (USA),USA,['Horror'],2.4
85,Oceans Rising,17 January 2017 (UK),USA,"['Action', 'Adventure']",2.4
86,The Fast and the Fierce,1 April 2017 (Poland),USA,['Action'],2.4
87,Gialli,10 July 2015 (Russia),Russia,"['Crime', 'Horror']",2.4
88,The Secret Village,16 October 2013 (Sweden),USA,"['Horror', 'Mystery']",2.5
89,Razors: The Return of Jack the Ripper,8 May 2017 (UK),UK,"['Fantasy', 'Horror']",2.5
90,You Will Love Me,31 August 2013 (USA),USA,"['Horror', 'Mystery']",2.5
91,Scream at the Devil,2 March 2016 (USA),USA,['Mystery'],2.5
92,Poseidon Rex,10 January 2014 (India),USA,"['Action', 'Adventure']",2.5
93,The Library,3 May 2014 (UK),UK,['Horror'],2.5
94,Fire Twister,21 June 2015 (Netherlands),USA,"['Action', 'Adventure']",2.5
95,2047: Sights of Death,24 July 2014 (Italy),Italy,"['Action', 'Sci-Fi']",2.5
96,Abandoned Dead,4 November 2015 (USA),USA,"['Crime', 'Horror']",2.5
97,Kadavul Paathi Mirugam Paathi,20 March 2015 (India),India,['Action'],2.5
98,Cowboy,15 February 2013 (India),India,['Action'],2.5
99,The Doll,8 December 2017 (USA),USA,"['Fantasy', 'Horror']",2.5
100,Start Again,Thriller,Italy,[],2.5
101,The Brides of Sodom,29 January 2013 (USA),USA,"['Fantasy', 'Horror']",2.6
102,Fractured,17 April 2015 (USA),USA,"['Drama', 'Horror']",2.6
103,Hansel & Gretel: Warriors of Witchcraft,22 January 2013 (USA),USA,"['Action', 'Adventure']",2.6
104,Slink,14 June 2013 (USA),USA,['Horror'],2.6
105,The Merchant,3 March 2013 (USA),UK,"['Drama', 'Horror']",2.6
106,Silverhide,6 April 2015 (UK),UK,"['Horror', 'Mystery']",2.6
107,Kerat 14,14 February 2013 (Malaysia),Malaysia,['Action'],2.6
108,Mega Shark vs. Mecha Shark,28 January 2014 (USA),USA,"['Action', 'Adventure']",2.6
109,LA Apocalypse,7 May 2015 (Germany),USA,"['Action', 'Sci-Fi']",2.6
110,Blood Relatives,20 November 2014 (USA),USA,[],2.6
111,Jogo do Copo,July 2014 (Brazil),Brazil,"['Fantasy', 'Horror']",2.6
112,Gu dao jing hun 2,26 January 2013 (China),China,"['Drama', 'Fantasy']",2.6
113,Adhibar,28 August 2015 (India),India,['Action'],2.6
114,Girls,28 October 2016 (India),India,['Horror'],2.6
115,Sinsiran: Yasak ask,26 May 2017 (Turkey),Turkey,"['Drama', 'Horror']",2.6
116,Kiss and Kill,8 August 2017 (USA),USA,"['Drama', 'Mystery']",2.6
117,Labirynt swiadomosci,24 November 2017 (Poland),Poland,[],2.6
118,Shortcut Romeo,21 June 2013 (India),India,"['Action', 'Crime']",2.7
119,36 Saints,6 September 2013 (USA),USA,[],2.7
120,Alienate,5 May 2017 (USA),USA,"['Drama', 'Horror']",2.7
121,Dark Minds,30 September 2013 (USA),USA,[],2.7
122,Pearl: The Assassin,June 2015 (USA),USA,"['Action', 'Crime']",2.7
123,Midway - Tra la vita e la morte,11 April 2013 (Italy),Italy,['Horror'],2.7
124,Freshwater,26 February 2016 (Taiwan),USA,[],2.7
125,Mob Handed,13 June 2016 (UK),UK,[],2.7
126,Ridge War Z,5 November 2013 (USA),USA,"['Horror', 'Thriller']",2.7
127,Camp Blood First Slaughter,20 May 2014 (USA),USA,['Horror'],2.7
128,Morning Star,17 December 2015 (Bahrain),Italy,"['Action', 'Adventure']",2.7
129,Full English Breakfast,7 April 2014 (UK),UK,"['Action', 'Crime']",2.7
130,He Who Dares: Downing Street Siege,24 August 2015 (Netherlands),UK,"['Action', 'Crime']",2.7
131,On the Brain,12 July 2016 (USA),USA,"['Crime', 'Horror']",2.7
132,The Final Project,4 March 2016 (USA),USA,['Horror'],2.7
133,Bhadaas,27 December 2013 (India),India,[],2.7
134,Trip to Bhangarh: Asia's Most Haunted Place,28 August 2014 (India),India,['Horror'],2.7
135,La Secta,30 October 2014 (Argentina),Argentina,['Mystery'],2.7
136,Alkarisi: Cinnet,26 June 2015 (Turkey),Turkey,['Horror'],2.7
137,Kamara Kattu,22 May 2015 (India),India,"['Drama', 'Romance']",2.7
138,Canvas of Death,1 February 2016 (USA),USA,['Horror'],2.7
139,Realms Hunt for the Shadow Man,20 January 2016 (USA),USA,"['Action', 'Horror']",2.7
140,Sowkarpettai,4 March 2016 (India),India,['Horror'],2.7
