title,date,country,genre,rate
Apocalypse Pompeii,8 January 2016 (India),USA,"['Action', 'Adventure']",2.4
Viking Legacy,19 September 2016 (UK),UK,['Action'],2.4
Triangle the Dark Side,18 August 2016 (Indonesia),Indonesia,['Action'],2.4
Knights of the Damned,25 September 2017 (UK),UK,"['Action', 'Fantasy']",2.4
Hajwala,29 September 2016 (United Arab Emirates),United Arab Emirates,"['Action', 'Adventure']",2.4
Oceans Rising,17 January 2017 (UK),USA,"['Action', 'Adventure']",2.4
The Fast and the Fierce,1 April 2017 (Poland),USA,['Action'],2.4
Bruce Lee,17 March 2017 (India),India,['Action'],2.4
Poseidon Rex,10 January 2014 (India),USA,"['Action', 'Adventure']",2.5
Hamartia - Ventos do Destino,27 November 2013 (Brazil),Brazil,['Action'],2.5
Sector 4,2014 (USA),USA,['Action'],2.5
Richard the Lionheart: Rebellion,11 June 2015 (USA),USA,"['Action', 'Adventure']",2.5
Fire Twister,21 June 2015 (Netherlands),USA,"['Action', 'Adventure']",2.5
2047: Sights of Death,24 July 2014 (Italy),Italy,"['Action', 'Sci-Fi']",2.5
Cross Wars,7 February 2017 (Sweden),USA,['Action'],2.5
Kadavul Paathi Mirugam Paathi,20 March 2015 (India),India,['Action'],2.5
Cowboy,15 February 2013 (India),India,['Action'],2.5
King Arthur: Excalibur Rising,4 May 2017 (Kuwait),UK,['Action'],2.5
Sinbad and the War of the Furies,6 December 2016 (USA),USA,['Action'],2.5
The Cloth,2 July 2013 (USA),USA,"['Action', 'Fantasy']",2.6
Hansel & Gretel: Warriors of Witchcraft,22 January 2013 (USA),USA,"['Action', 'Adventure']",2.6
Billy the Kid,27 August 2016 (USA),USA,['Action'],2.6
Mega Shark vs. Mecha Shark,28 January 2014 (USA),USA,"['Action', 'Adventure']",2.6
LA Apocalypse,7 May 2015 (Germany),USA,"['Action', 'Sci-Fi']",2.6
Malanapoli - la ventunesima stella,4 December 2013 (Italy),Italy,['Action'],2.6
Rz-9,16 April 2015 (USA),USA,['Action'],2.6
God of Thunder,22 June 2015 (UK),USA,"['Action', 'Adventure']",2.6
Star Trek: Captain Pike,Sci-Fi,USA,['Action'],2.6
I Am Hooligan,5 September 2016 (UK),UK,['Action'],2.6
Game of Assassins,26 December 2013 (China),China,['Action'],2.6
Adhibar,28 August 2015 (India),India,['Action'],2.6
Asian Ghost Story,31 October 2016 (USA),Canada,['Action'],2.6
Troy the Odyssey,15 October 2017 (USA),USA,"['Action', 'Adventure']",2.6
Anbanavan Asaradhavan Adangadhavan,23 June 2017 (India),India,['Action'],2.6
Shortcut Romeo,21 June 2013 (India),India,"['Action', 'Crime']",2.7
Pearl: The Assassin,June 2015 (USA),USA,"['Action', 'Crime']",2.7
Badass Showdown,2 April 2013 (USA),USA,['Action'],2.7
Mystic Blade,15 October 2014 (Thailand),Thailand,"['Action', 'Drama']",2.7
Morning Star,17 December 2015 (Bahrain),Italy,"['Action', 'Adventure']",2.7
Full English Breakfast,7 April 2014 (UK),UK,"['Action', 'Crime']",2.7
He Who Dares: Downing Street Siege,24 August 2015 (Netherlands),UK,"['Action', 'Crime']",2.7
Andr¨°n: The Black Labyrinth,3 June 2016 (USA),Italy,['Action'],2.7
Fight Valley,22 July 2016 (USA),USA,['Action'],2.7
Showdown in Manila,19 January 2018 (USA),USA,['Action'],2.7
Realms Hunt for the Shadow Man,20 January 2016 (USA),USA,"['Action', 'Horror']",2.7
In the Name of Ben Hur,11 August 2016 (Hungary),USA,['Action'],2.7
Machine,17 March 2017 (India),India,"['Action', 'Mystery']",2.7
Alligator X,16 April 2014 (Belgium),USA,"['Action', 'Adventure']",2.8
The Borderland,11 November 2014 (USA),France,['Action'],2.8
P-51 Dragon Fighter,19 August 2014 (USA),USA,"['Action', 'Fantasy']",2.8
Battle for Skyark,24 June 2017 (Australia),USA,"['Action', 'Adventure']",2.8
Knight of the Dead,30 October 2014 (Kuwait),USA,"['Action', 'Fantasy']",2.8
American Justice,2 January 2017 (USA),USA,['Action'],2.8
Kerat 14,14 February 2013 (Malaysia),Malaysia,['Action'],2.8
Empire of the Apes,1 July 2013 (USA),USA,"['Action', 'Adventure']",2.8
The Snow Queen,19 November 2013 (Germany),USA,"['Action', 'Adventure']",2.8
Xiao xiao fei hu dui,25 January 2013 (China),China,"['Action', 'Comedy']",2.8
LifeTime,24 February 2014 (UK),UK,['Drama'],2.8
Tekken: A Man Called X,2015 (USA),USA,['Action'],2.8
Hood,4 August 2015 (USA),USA,['Action'],2.8
Juarez 2045,17 February 2018 (Japan),USA,"['Action', 'Adventure']",2.8
Angel of Reckoning,20 September 2016 (USA),USA,"['Action', 'Horror']",2.8
Road Wars,5 May 2015 (USA),USA,['Action'],2.8
Mega Shark vs. Kolossus,16 July 2015 (Germany),USA,"['Action', 'Adventure']",2.8
Teraa Surroor,11 March 2016 (India),India,"['Action', 'Drama']",2.8
Infected,3 October 2014 (Canada),USA,"['Action', 'Horror']",2.9
Dragonwolf,31 October 2013 (Thailand),Thailand,['Action'],2.9
The Underneath,December 2013 (USA),USA,"['Action', 'Sci-Fi']",2.9
Age of Dinosaurs,8 October 2015 (Hungary),USA,"['Action', 'Adventure']",2.9
Starship: Apocalypse,20 December 2014 (Japan),USA,['Action'],2.9
April Rain,4 June 2014 (USA),USA,['Action'],2.9
Night Cries,24 March 2015 (Canada),Canada,"['Action', 'Drama']",2.9
Checkmate,8 September 2015 (USA),USA,"['Action', 'Crime']",2.9
Kung Fu Brother,Action,USA,['Action'],2.9
David and Goliath,7 March 2016 (UK),USA,"['Action', 'Adventure']",2.9
Zombies,14 November 2017 (USA),USA,['Action'],2.9
Fragmented Skin,17 June 2016 (UK),UK,['Action'],2.9
Land Shark,27 June 2017 (USA),USA,"['Action', 'Adventure']",2.9
Neulovimye: Posledniy geroy,29 October 2015 (Russia),Russia,['Action'],2.9
It Kills,11 November 2017 (USA),USA,"['Action', 'Horror']",2.9
Blooming Flowers,13 July 2013 (USA),USA,"['Action', 'Adventure']",3
Warrioress,26 May 2015 (UK),UK,"['Action', 'Adventure']",3
Gone Dark,1 November 2013 (USA),USA,['Action'],3
11 Blocks,27 October 2015 (USA),Canada,['Action'],3
Brutal,5 January 2014 (USA),USA,"['Action', 'Drama']",3
Angels Around Me,16 April 2013 (USA),USA,['Action'],3
Dracano,5 June 2013 (Japan),USA,"['Action', 'Adventure']",3
Campus Code,22 September 2015 (USA),USA,['Action'],3
He Who Dares,16 May 2014 (Vietnam),UK,"['Action', 'Crime']",3
The Fetish Set,20 February 2015 (USA),,['Action'],3
Santa Banta Pvt Ltd,22 April 2016 (India),India,['Action'],3
Hayride 2,18 March 2016 (Germany),USA,"['Action', 'Horror']",3
Kartooz,January 2014 (India),India,['Action'],3
Extraction Day,20 October 2014 (Canada),Canada,['Action'],3
Nevalyashka-2,15 December 2013 (Russia),Russia,['Action'],3
KillerSaurus,6 July 2015 (UK),UK,"['Action', 'Horror']",3
Max Hell Frog Warrior: A Zen Rough Cut,7 July 2015 (USA),USA,['Action'],3
Z/Rex: The Jurassic Dead,24 February 2018 (Japan),USA,"['Action', 'Comedy']",3
Abduction,28 June 2017 (UK),UK,"['Action', 'Comedy']",3
Blow a Kiss,2 August 2017 (USA),USA,['Action'],3
Diamond Cartel,24 March 2017 (USA),Kazakhstan,['Action'],3
Saravanan Irukka Bayamaen,11 May 2017 (Kuwait),India,['Action'],3
Raptor Ranch,31 October 2013 (USA),Russia,"['Action', 'Adventure']",3.1
Gemini Rising,26 January 2015 (USA),USA,"['Action', 'Sci-Fi']",3.1
Snake Club: Revenge of the Snake Woman,31 May 2013 (Germany),USA,"['Action', 'Fantasy']",3.1
Left Behind,3 October 2014 (USA),USA,"['Action', 'Drama']",3.1
Rajdhani Express,4 January 2013 (India),India,"['Action', 'Drama']",3.1
Everywhen,28 January 2013 (Norway),Norway,"['Action', 'Sci-Fi']",3.1
Bane Rises Fan Film,8 November 2013 (USA),USA,['Action'],3.1
Cigarette Soup,10 April 2017 (USA),USA,"['Action', 'Drama']",3.1
Terms & Conditions,26 May 2015 (USA),USA,['Action'],3.1
Ninja Apocalypse,5 August 2014 (USA),USA,"['Action', 'Fantasy']",3.1
The Contract,18 January 2016 (UK),UK,"['Action', 'Crime']",3.1
Android Cop,29 October 2015 (South Korea),USA,['Action'],3.1
The Dead the Damned and the Darkness,7 October 2014 (USA),USA,"['Action', 'Horror']",3.1
Karle Pyaar Karle,17 January 2014 (India),India,['Action'],3.1
The Lost Legion,22 January 2014 (USA),Czech Republic,"['Action', 'Adventure']",3.1
The Town Inside,14 August 2014 (USA),USA,"['Action', 'Drama']",3.1
Rudra Simhasanam,31 July 2015 (India),India,['Action'],3.1
New World Order,February 2015 (Italy),Italy,"['Action', 'Crime']",3.1
Drone Wars,30 March 2016 (USA),USA,"['Action', 'Sci-Fi']",3.1
Toofan,6 September 2013 (India),India,['Action'],3.1
Kaththi Sandai,23 December 2016 (India),India,['Action'],3.1
Kuntham,1 December 2017 (India),India,['Action'],3.1
Tshiong,29 December 2017 (Taiwan),Taiwan,['Action'],3.1
Hunting the Phantom,30 January 2014 (Kazakhstan),Kazakhstan,"['Action', 'Adventure']",3.2
Blaze You Out,30 July 2013 (USA),USA,"['Action', 'Drama']",3.2
Nomad the Beginning,3 July 2013 (Japan),USA,['Action'],3.2
In the Name of the King: The Last Mission,26 February 2014 (Japan),Canada,"['Action', 'Adventure']",3.2
Xibalba,2 May 2017 (Japan),Mexico,"['Action', 'Horror']",3.2
Kaukopartio,27 December 2013 (Finland),Finland,"['Action', 'Adventure']",3.2
Cowboys vs. Zombies,2014 (USA),USA,['Action'],3.2
Kamikaze,1 December 2016 (USA),UK,['Action'],3.2
Extinction,12 November 2015 (Peru),UK,"['Action', 'Adventure']",3.2
The Parricidal Effect,2014 (USA),USA,"['Action', 'Adventure']",3.2
Dekiru: The Three Stones,2017 (USA),USA,"['Action', 'Adventure']",3.2
Time Rush,1 January 2016 (USA),USA,['Action'],3.2
Prophecy of Eve,22 July 2014 (USA),USA,['Action'],3.2
Warrior Assassin,1 April 2014 (USA),,['Action'],3.2
Creature,12 September 2014 (India),India,"['Action', 'Horror']",3.2
Gangster,11 April 2014 (India),India,"['Action', 'Crime']",3.2
Taven,Fantasy,USA,['Action'],3.2
Grand Auto Theft: L.A.,1 October 2014 (China),USA,['Action'],3.2
Sagaptham,2 April 2015 (India),India,['Action'],3.2
The Perfect Weapon,9 September 2016 (USA),USA,"['Action', 'Drama']",3.2
Lailaa O Lailaa,14 May 2015 (India),India,['Action'],3.2
Balala the Fairies: Princess Camellia,1 October 2015 (China),China,"['Action', 'Adventure']",3.2
Killer Punjabi,29 April 2016 (India),Canada,['Action'],3.2
Prisoners of Time,January 2016 (Switzerland),Canada,"['Action', 'Drama']",3.2
Maa al-Khatar,7 April 2016 (Kuwait),Kuwait,['Action'],3.2
Atomic Shark,5 November 2016 (USA),USA,"['Action', 'Sci-Fi']",3.2
Essex Heist,23 January 2017 (UK),UK,['Action'],3.2
Clownface,28 December 2017 (USA),USA,"['Action', 'Comedy']",3.2
Action Jackson,5 December 2014 (India),India,['Action'],3.3
Six Gun Savior,5 July 2016 (USA),USA,"['Action', 'Adventure']",3.3
Shrimp Crawl,2013 (USA),USA,"['Action', 'Drama']",3.3
Zanjeer,6 September 2013 (India),India,['Action'],3.3
Roy,12 February 2015 (Kuwait),India,"['Action', 'Drama']",3.3
Project 12: The Bunker,8 January 2016 (Japan),Spain,"['Action', 'Adventure']",3.3
The Asian Connection,13 May 2016 (USA),Thailand,"['Action', 'Crime']",3.3
Quadrant 9EV9,1 March 2016 (USA),USA,"['Action', 'Horror']",3.3
Misfire,12 January 2015 (Japan),USA,['Action'],3.3
24 Hours,29 September 2015 (USA),USA,['Action'],3.3
Mississippi Shakedown,10 June 2014 (USA),USA,['Action'],3.3
Survival Instinct,13 June 2016 (UK),UK,"['Action', 'Horror']",3.3
Navy Seals vs. Zombies,8 October 2015 (USA),USA,['Action'],3.3
Check Point,7 March 2017 (USA),USA,"['Action', 'Thriller']",3.3
