title,date,country,genre,rate
Tantsy nasmert,6 April 2017 (Russia),Russia,"['Action', 'Drama']",3.3
Zoombies,1 March 2016 (USA),USA,"['Action', 'Adventure']",3.3
Sniper: Special Ops,3 May 2016 (USA),USA,"['Action', 'Drama']",3.3
Protocol 734,30 October 2016 (USA),USA,['Action'],3.3
Valliyum Thetti Pulliyum Thetti,12 May 2016 (India),India,"['Action', 'Comedy']",3.3
Crackbaby Billionaire,1 January 2017 (USA),USA,['Action'],3.3
Bir Baba Hindu,29 September 2016 (Germany),Turkey,"['Action', 'Adventure']",3.3
China Salesman,16 June 2017 (China),China,"['Action', 'Adventure']",3.3
H.I.T. - De Romeo's,15 March 2017 (Belgium),Belgium,"['Action', 'Comedy']",3.3
Indrajith,23 November 2017 (Kuwait),India,['Action'],3.3
Revolt of the Empire of the Apes,19 July 2017 (USA),USA,"['Action', 'Adventure']",3.3
Blood Shot,29 October 2013 (Canada),USA,"['Action', 'Comedy']",3.4
Dead Sea,4 November 2017 (Canada),USA,"['Action', 'Adventure']",3.4
Vikingdom,12 September 2013 (Malaysia),Malaysia,"['Action', 'Adventure']",3.4
Slaughter Is the Best Medicine,21 April 2014 (UK),UK,"['Action', 'Drama']",3.4
Alpha Girls,1 September 2013 (USA),USA,"['Action', 'Horror']",3.4
Gitaskog,Horror,Canada,['Action'],3.4
Dragonfyre,6 September 2013 (USA),USA,"['Action', 'Adventure']",3.4
Dominion,14 September 2015 (UK),USA,"['Action', 'Sci-Fi']",3.4
Independence Daysaster,27 June 2013 (USA),Canada,"['Action', 'Adventure']",3.4
Run Like Hell,9 September 2014 (USA),USA,"['Action', 'Horror']",3.4
Survival,13 April 2013 (Germany),Germany,['Action'],3.4
006 ka?is,16 May 2014 (Turkey),Turkey,['Action'],3.4
Accident,1 December 2017 (South Africa),South Africa,['Action'],3.4
Sleeping Beauty,17 July 2014 (Germany),USA,"['Action', 'Adventure']",3.4
A Perfect Vacation,7 July 2015 (USA),USA,"['Action', 'Horror']",3.4
The Liberator,28 April 2017 (UK),UK,['Action'],3.4
Piranha Sharks,8 August 2018 (USA),USA,"['Action', 'Comedy']",3.4
The Demolisher,27 July 2015 (Canada),Canada,"['Action', 'Horror']",3.4
Viking: The Berserkers,15 September 2014 (UK),UK,['Action'],3.4
Downhill,14 January 2017 (Japan),Chile,"['Action', 'Horror']",3.4
Rough Cut,16 October 2015 (UK),UK,"['Action', 'Crime']",3.4
States,6 June 2015 (USA),USA,"['Action', 'Crime']",3.4
The Rizen,19 June 2017 (UK),UK,"['Action', 'Horror']",3.4
The Empire Symbol,18 September 2013 (China),China,['Action'],3.4
Belly of the Bulldog,6 October 2016 (Kuwait),UK,"['Action', 'Horror']",3.4
A Flying Jatt,25 August 2016 (India),India,"['Action', 'Adventure']",3.4
Immigration Game,6 July 2017 (Germany),Germany,"['Action', 'Drama']",3.4
Day of Reckoning,8 October 2016 (USA),USA,"['Action', 'Horror']",3.4
Pagdi,September 2016 (India),India,['Action'],3.4
Red Sonja: Queen of Plagues,2 August 2016 (USA),USA,"['Animation', 'Action']",3.4
Munna Michael,21 July 2017 (India),India,"['Action', 'Drama']",3.4
De Buurtpolitie: De Grote Geldroof,31 October 2016 (Belgium),Belgium,['Action'],3.4
Uchathula Shiva,19 September 2016 (India),India,['Action'],3.4
Area:98,Mystery,USA,['Action'],3.4
Sathya,20 April 2017 (India),India,['Action'],3.4
Exit to Hell,5 November 2013 (USA),USA,"['Action', 'Horror']",3.5
The Cure,6 February 2014 (New Zealand),USA,"['Action', 'Sci-Fi']",3.5
Arena of the Street Fighter,6 June 2013 (USA),Germany,['Action'],3.5
Finders Keepers: The Root of All Evil,4 April 2013 (USA),USA,"['Action', 'Horror']",3.5
Misirlou,1 February 2018 (USA),USA,"['Action', 'Fantasy']",3.5
Supercollider,2 November 2013 (Canada),Canada,"['Action', 'Adventure']",3.5
Model Behaviour,Mystery,Australia,['Action'],3.5
Zombie Hunter,8 October 2013 (USA),USA,"['Action', 'Comedy']",3.5
Yamla Pagla Deewana 2,7 June 2013 (India),India,"['Action', 'Comedy']",3.5
Yaan,2 October 2014 (India),India,['Action'],3.5
Bhai,25 October 2013 (India),India,"['Action', 'Comedy']",3.5
Station 4,10 February 2014 (USA),USA,"['Action', 'Sci-Fi']",3.5
Jurassic City,29 May 2015 (Germany),USA,"['Action', 'Horror']",3.5
Lovci a obeti,26 March 2015 (Czech Republic),Czech Republic,['Action'],3.5
The Veil,15 April 2017 (Brazil),USA,"['Action', 'Adventure']",3.5
Zombie Ninjas vs Black Ops,October 2015 (Canada),Australia,"['Action', 'Adventure']",3.5
Netru Indru,20 June 2014 (India),India,"['Action', 'Adventure']",3.5
Apocalypse L.A.,23 September 2014 (USA),USA,"['Action', 'Horror']",3.5
10.0 Earthquake,11 October 2014 (USA),USA,"['Action', 'Adventure']",3.5
Decommissioned,January 2016 (USA),USA,['Action'],3.5
Wrecker,6 January 2017 (India),Canada,"['Action', 'Horror']",3.5
Echo Effect,8 September 2015 (USA),USA,['Action'],3.5
Killing Rob Teare,14 February 2015 (USA),USA,"['Action', 'Comedy']",3.5
StaggeR .0,6 July 2015 (UK),UK,"['Action', 'Crime']",3.5
Shark Lake,2 October 2015 (USA),USA,"['Action', 'Adventure']",3.5
The Last Heist,17 June 2016 (USA),USA,"['Action', 'Horror']",3.5
King Charles,March 2017 (USA),USA,"['Action', 'Crime']",3.5
Kingdom of Gladiators: The Tournament,15 May 2017 (UK),USA,"['Action', 'Drama']",3.5
Contract to Kill,2016 (USA),Romania,"['Action', 'Adventure']",3.5
Kolamass,4 March 2016 (India),India,['Action'],3.5
Sex Under a Blood Moon,18 July 2016 (UK),UK,['Action'],3.5
Far til fire p? toppen,9 February 2017 (Denmark),Denmark,"['Action', 'Comedy']",3.5
Motta Shiva Ketta Shiva,2017 (India),India,['Action'],3.5
Cold Zone,16 May 2017 (USA),USA,['Action'],3.5
Persecuted,18 July 2014 (USA),USA,"['Action', 'Drama']",3.6
Dead South,2016 (USA),USA,"['Action', 'Drama']",3.6
Zila Ghaziabad,22 February 2013 (India),India,"['Action', 'Crime']",3.6
Pro Wrestlers vs Zombies,28 March 2014 (USA),USA,"['Action', 'Comedy']",3.6
Echo Dr.,8 November 2013 (USA),USA,"['Action', 'Drama']",3.6
Bula Quo!,5 July 2013 (UK),UK,"['Action', 'Adventure']",3.6
Besharam,2 October 2013 (India),India,"['Action', 'Comedy']",3.6
Far Cry 3: Last Travel,30 November 2013 (Poland),Poland,"['Action', 'Adventure']",3.6
Fight to the Finish,2 February 2016 (USA),USA,"['Action', 'Romance']",3.6
Jue min hang ban,21 March 2014 (China),China,"['Action', 'Horror']",3.6
One Shot,7 October 2014 (USA),USA,"['Action', 'Sci-Fi']",3.6
Al Ashash,12 October 2013 (Egypt),Egypt,['Action'],3.6
Swamp Terror,3 February 2014 (USA),USA,['Action'],3.6
The Chemist,2 August 2016 (USA),USA,['Action'],3.6
Turkey Shoot,4 December 2014 (Australia),Australia,['Action'],3.6
H?vdinger,17 July 2015 (Norway),Norway,['Action'],3.6
Sendero,12 October 2015 (Spain),Chile,"['Action', 'Drama']",3.6
All Girls Weekend,12 July 2016 (USA),USA,"['Action', 'Adventure']",3.6
Defective,13 February 2018 (Canada),Canada,"['Action', 'Sci-Fi']",3.6
Larceny,15 September 2017 (USA),USA,['Action'],3.6
Gethu,13 January 2016 (France),India,['Action'],3.6
Hatton Garden the Heist,17 October 2016 (UK),UK,"['Action', 'Crime']",3.6
Shooter,13 September 2016 (Bangladesh),Bangladesh,['Action'],3.6
Action Jasmine,15 May 2015 (Bangladesh),Bangladesh,['Action'],3.6
Prisoners of the Sun,12 December 2013 (Thailand),USA,"['Action', 'Adventure']",3.7
Maximum Ride,30 August 2016 (USA),USA,"['Action', 'Adventure']",3.7
Germ,12 March 2013 (USA),USA,"['Action', 'Drama']",3.7
Contract Killers,2014 (New Zealand),New Zealand,"['Action', 'Crime']",3.7
Dust of War,18 July 2013 (USA),USA,['Action'],3.7
BlackJacks,6 September 2016 (USA),USA,"['Action', 'Sci-Fi']",3.7
Soldiers of the Damned,8 August 2015 (UK),UK,"['Action', 'Horror']",3.7
Jezebeth 2 Hour of the Gun,31 May 2015 (USA),USA,"['Action', 'Adventure']",3.7
Abducted,17 March 2014 (UK),UK,['Action'],3.7
Day of Redemption,January 2013 (USA),USA,['Action'],3.7
Seventy-Nine,8 June 2017 (USA),USA,"['Action', 'Horror']",3.7
Cranium Intel,22 May 2016 (USA),USA,"['Animation', 'Action']",3.7
Lateef,1 January 2013 (India),India,"['Action', 'Crime']",3.7
ICE Agent,15 May 2013 (USA),USA,['Action'],3.7
Viktor,4 September 2014 (Russia),France,"['Action', 'Drama']",3.7
Treasure Hunters,10 November 2017 (USA),USA,['Action'],3.7
Forgotten in Still Frame,20 February 2016 (USA),USA,"['Action', 'Drama']",3.7
Age of Kill,15 June 2015 (UK),UK,['Action'],3.7
Bus Driver,4 October 2016 (USA),USA,['Action'],3.7
Les gorilles,15 April 2015 (France),France,['Action'],3.7
Mercenaries,5 August 2014 (USA),USA,['Action'],3.7
Boned,2016 (USA),USA,"['Action', 'Comedy']",3.7
Road,5 August 2017 (France),UK,"['Action', 'Crime']",3.7
North Mountain,8 August 2015 (Canada),Canada,"['Action', 'Crime']",3.7
Bob Thunder: Internet Assassin,27 October 2015 (USA),USA,['Action'],3.7
Crystal Inferno,2017 (France),France,"['Action', 'Adventure']",3.7
AmeriGeddon,13 May 2016 (USA),USA,['Action'],3.7
Mrugashira,December 2014 (India),India,['Action'],3.7
Killadi,30 January 2015 (India),India,['Action'],3.7
Vaaimai,8 September 2016 (India),India,['Action'],3.7
Armstrong,12 September 2017 (France),USA,['Action'],3.7
Hero,11 September 2015 (India),India,"['Action', 'Drama']",3.7
Lion,14 May 2015 (India),India,"['Action', 'Drama']",3.7
Cops and Robbers,12 December 2017 (USA),USA,['Action'],3.7
Ozark Sharks,30 July 2016 (Poland),USA,"['Action', 'Adventure']",3.7
Aa Gaya Hero,16 March 2017 (India),India,['Action'],3.7
Buddies in India,27 January 2017 (China),China,['Action'],3.7
Event Zero,April 2017 (Australia),Australia,"['Action', 'Drama']",3.7
