,title,date,country,genre,rate
85,Misshi to bannin,22 July 2017 (Japan),Japan,[],2.1
86,Gandhinagaril Unniyarcha,10 November 2017 (India),,['Comedy'],2.1
87,500 MPH Storm,1 November 2013 (Canada),USA,"['Action', 'Adventure']",2.2
88,A Love That Hurts,26 September 2013 (USA),USA,['Drama'],2.2
89,Consideration,26 May 2015 (USA),USA,['Drama'],2.2
90,Merajiha,21 February 2014 (Iran),Iran,"['Comedy', 'Drama']",2.2
91,Paranormal Extremes: Text Messages from the Dead,1 May 2015 (USA),USA,['Drama'],2.2
92,59,3 November 2015 (UK),UK,"['Drama', 'Music']",2.2
93,Namaste Bali,27 February 2015 (India),India,[],2.2
94,Life Prescribed,October 2016 (USA),USA,['Biography'],2.2
95,B.A. Pass 2,15 September 2017 (India),India,[],2.2
96,Amnesiac,1 March 2013 (UK),UK,"['Drama', 'Horror']",2.3
97,Chasovshchik,18 May 2013 (Russia),Russia,"['Action', 'Crime']",2.3
98,7 glavnykh zhelaniy,5 December 2013 (Russia),Russia,['Comedy'],2.3
99,Jens Munk: NordvestXpeditionen,21 May 2015 (Denmark),Denmark,[],2.3
100,Nothing Without GOD,17 May 2016 (USA),USA,[],2.3
101,The Other Side of the Mirror,3 May 2016 (USA),USA,"['Drama', 'Fantasy']",2.4
102,Cheery Point,26 March 2013 (USA),USA,['Drama'],2.4
103,100 Degrees Below Zero,13 April 2013 (USA),USA,"['Action', 'Adventure']",2.4
104,Territory 8,1 May 2013 (USA),USA,"['Drama', 'Sci-Fi']",2.4
105,Apocalypse Pompeii,8 January 2016 (India),USA,"['Action', 'Adventure']",2.4
106,Look 4 Them,1 December 2014 (Germany),Germany,[],2.4
107,Kidnapped in Romania,2 April 2016 (USA),Romania,[],2.4
108,Villali Veeran,9 October 2014 (Kuwait),India,['Comedy'],2.4
109,Man zhou li lai de ren,25 March 2015 (Hong Kong),China,"['Crime', 'Drama']",2.4
110,Thinkal Muthal Velli Vare,12 June 2015 (India),India,[],2.4
111,Da bian ju zhi meng hui Jia Wu,1 September 2015 (China),China,[],2.4
112,Hajwala,29 September 2016 (United Arab Emirates),United Arab Emirates,"['Action', 'Adventure']",2.4
113,Oceans Rising,17 January 2017 (UK),USA,"['Action', 'Adventure']",2.4
114,Hooligans at War: North vs. South,13 April 2015 (UK),UK,"['Crime', 'Drama']",2.5
115,"Duarte, traici¨®n y gloria",26 January 2014 (Dominican Republic),Dominican Republic,['Drama'],2.5
116,My Refuge,9 September 2013 (USA),USA,[],2.5
117,Richard the Lionheart: Rebellion,11 June 2015 (USA),USA,"['Action', 'Adventure']",2.5
118,Voodoo Possession,14 January 2014 (USA),USA,"['Drama', 'Horror']",2.5
119,Pour que plus jamais,19 March 2014 (Canada),Canada,[],2.5
120,The Dirty MMS,2 May 2014 (India),India,[],2.5
121,The Sex Addict,18 April 2017 (USA),USA,['Comedy'],2.5
122,Honour Killing,27 February 2015 (UK),UK,['Drama'],2.5
123,Sashimi,24 April 2015 (Taiwan),Taiwan,[],2.5
124,Fractured,17 April 2015 (USA),USA,"['Drama', 'Horror']",2.6
125,The Merchant,3 March 2013 (USA),UK,"['Drama', 'Horror']",2.6
126,The Best Years,25 April 2013 (UK),UK,"['Comedy', 'Crime']",2.6
127,Totale Stille,2013 (Germany),Germany,[],2.6
128,Gu dao jing hun 2,26 January 2013 (China),China,"['Drama', 'Fantasy']",2.6
129,Kuch Kuch Locha Hai,8 May 2015 (India),India,['Comedy'],2.6
130,The Messenger's Box,1 November 2015 (USA),USA,[],2.6
131,Learning Hebrew (A Gothsploitation Movie),13 June 2013 (UK),UK,[],2.6
132,Dirty Politics,6 March 2015 (India),India,[],2.6
133,I Am Hooligan,5 September 2016 (UK),UK,['Action'],2.6
134,Sir C. P.,15 May 2015 (India),India,[],2.6
135,Thilothama,27 November 2015 (India),India,['Crime'],2.6
136,Murder on the Cape,31 August 2017 (USA),USA,[],2.6
137,Golub - poslannik nebes,1 December 2015 (Russia),Russia,[],2.6
138,Love Is Love,8 December 2017 (USA),USA,[],2.6
139,Sinsiran: Yasak ask,26 May 2017 (Turkey),Turkey,"['Drama', 'Horror']",2.6
140,Kiss and Kill,8 August 2017 (USA),USA,"['Drama', 'Mystery']",2.6
141,Gece qonagi 2,2 October 2017 (Azerbaijan),Azerbaijan,[],2.6
142,Alienate,5 May 2017 (USA),USA,"['Drama', 'Horror']",2.7
143,S.E.R.P.,17 December 2013 (USA),USA,[],2.7
144,Badass Showdown,2 April 2013 (USA),USA,['Action'],2.7
145,Mystic Blade,15 October 2014 (Thailand),Thailand,"['Action', 'Drama']",2.7
146,Breakdown Lane,5 January 2017 (USA),Canada,['Drama'],2.7
147,Yaariyan,10 January 2014 (India),India,['Drama'],2.7
148,Artifice: Loose Fellowship and Partners,3 March 2017 (USA),USA,[],2.7
149,Xiao shi dai 3: Ci jin shi dai,17 July 2014 (China),China,['Drama'],2.7
150,Il Bacio Azzurro,20 April 2015 (Italy),Italy,[],2.7
151,Fight Valley,22 July 2016 (USA),USA,['Action'],2.7
152,Deadly Voltage,15 January 2016 (UK),Canada,['Drama'],2.7
153,Queer,1 March 2015 (Canada),Canada,[],2.7
154,Kamara Kattu,22 May 2015 (India),India,"['Drama', 'Romance']",2.7
155,In sib ham baraye to,2015 (Iran),Iran,[],2.7
156,Shinkir? no fune,30 January 2016 (Japan),Japan,[],2.7
157,Xiao shi dai 4: Ling hun jin tou,9 July 2015 (China),China,['Drama'],2.7
158,#Enough,11 December 2015 (USA),USA,[],2.7
159,We All Fall Down,12 August 2016 (USA),USA,"['Adventure', 'Drama']",2.7
160,Jurassic School,31 January 2017 (USA),USA,"['Comedy', 'Drama']",2.7
161,Bad Seeds,14 September 2013 (USA),USA,[],2.8
162,Perfidia,2 October 2014 (Mexico),Chile,"['Drama', 'Fantasy']",2.8
163,Onus,26 December 2016 (UK),UK,"['Drama', 'Mystery']",2.8
164,Mumbai 125 KM 3D,17 October 2014 (India),India,"['Drama', 'Horror']",2.8
165,Corpus Christi,16 August 2013 (Venezuela),Venezuela,[],2.8
166,Zindagi 50 50,24 May 2013 (India),India,['Comedy'],2.8
167,Gramps Goes to College,2014 (USA),USA,[],2.8
168,LifeTime,24 February 2014 (UK),UK,['Drama'],2.8
169,The Monster,2015 (Iran),Iran,['Drama'],2.8
170,Bad Girl,1 December 2016 (USA),USA,['Drama'],2.8
171,Mumbai Can Dance Saalaa,2 January 2015 (India),India,[],2.8
172,Cupid's Guillotine,14 February 2017 (USA),USA,"['Drama', 'Mystery']",2.8
173,Teraa Surroor,11 March 2016 (India),India,"['Action', 'Drama']",2.8
174,Rio,2017 (USA),USA,[],2.8
175,Julie 2,24 November 2017 (India),India,['Drama'],2.8
176,We Are Family,11 July 2017 (USA),USA,['Comedy'],2.9
177,Toxin,30 January 2015 (USA),USA,"['Drama', 'Horror']",2.9
178,Jonah Lives,18 September 2015 (USA),USA,"['Drama', 'Horror']",2.9
179,Lake Noir,24 March 2015 (USA),USA,['Drama'],2.9
180,24 Hour Love,19 March 2013 (USA),USA,[],2.9
181,Chat,Thriller,USA,['Crime'],2.9
182,Doutes: Chronique du sentiment politique,13 November 2013 (France),France,['Comedy'],2.9
183,Night Cries,24 March 2015 (Canada),Canada,"['Action', 'Drama']",2.9
184,Bukimi na mono no hada ni sawaru,1 March 2014 (Japan),Japan,[],2.9
185,Nadodi Mannan,21 November 2013 (Kuwait),India,[],2.9
186,Essex Vendetta,9 May 2016 (UK),UK,[],2.9
187,Olipporu,23 August 2013 (India),India,['Drama'],2.9
188,DOTA: Nakakabaliw,9 April 2014 (Philippines),Philippines,[],2.9
189,The Losers,9 May 2014 (Taiwan),Taiwan,[],2.9
190,Psychos,17 March 2017 (USA),USA,"['Crime', 'Drama']",2.9
191,Anger of the Dead,8 January 2016 (USA),Italy,['Drama'],2.9
192,M.... Matric Pass,19 September 2014 (India),India,['Drama'],2.9
193,David and Goliath,7 March 2016 (UK),USA,"['Action', 'Adventure']",2.9
194,Beiimaan Love,14 October 2016 (India),India,"['Drama', 'Romance']",2.9
195,Giti's Problem,23 November 2016 (Iran),Iran,[],2.9
196,Unfinished Lights,31 January 2017 (Iran),Iran,"['Drama', 'Mystery']",2.9
197,Proklyataya,6 December 2016 (USA),Russia,"['Drama', 'Horror']",2.9
198,Inayathalam,19 May 2017 (India),India,[],2.9
199,Tai bei wu yu,19 May 2017 (Taiwan),Taiwan,['Crime'],2.9
200,Bhairav,28 August 2015 (Nepal),Nepal,[],2.9
201,Blooming Flowers,13 July 2013 (USA),USA,"['Action', 'Adventure']",3
202,All Out Dysfunktion!,17 September 1984 (USA),USA,['Comedy'],3
203,Sorrow,21 April 2015 (USA),USA,"['Crime', 'Drama']",3
204,Implanted,6 December 2013 (USA),USA,"['Drama', 'Mystery']",3
205,Brutal,5 January 2014 (USA),USA,"['Action', 'Drama']",3
206,It's a Lot,25 October 2013 (UK),UK,['Comedy'],3
207,Fragmented Truth,9 November 2014 (UK),USA,[],3
208,Ladies Nice,2 April 2013 (Mexico),Mexico,[],3
